iter	Passed	Remaining
0	16	4992
1	27	4143
2	40	3961
3	51	3783
4	63	3757
5	75	3701
6	87	3666
7	98	3599
8	109	3552
9	121	3521
10	133	3502
11	145	3481
12	156	3450
13	167	3425
14	179	3406
15	190	3384
16	201	3352
17	212	3325
18	223	3300
19	234	3284
20	246	3277
21	258	3268
22	270	3253
23	283	3264
24	295	3250
25	307	3239
26	318	3221
27	330	3210
28	342	3199
29	353	3181
30	364	3162
31	375	3145
32	386	3129
33	397	3113
34	408	3095
35	420	3080
36	432	3075
37	444	3061
38	455	3048
39	467	3038
40	478	3023
41	489	3007
42	501	2994
43	511	2978
44	523	2963
45	535	2959
46	548	2950
47	560	2942
48	571	2929
49	585	2925
50	596	2914
51	608	2903
52	620	2891
53	631	2874
54	642	2860
55	655	2854
56	667	2844
57	679	2834
58	691	2823
59	703	2814
60	714	2799
61	725	2784
62	736	2770
63	748	2759
64	760	2748
65	768	2724
66	779	2711
67	792	2702
68	803	2691
69	814	2677
70	825	2663
71	836	2648
72	849	2641
73	862	2632
74	873	2621
75	884	2605
76	894	2590
77	906	2579
78	918	2569
79	931	2561
80	942	2548
81	954	2536
82	966	2525
83	977	2514
84	989	2502
85	1001	2492
86	1012	2479
87	1025	2470
88	1037	2459
89	1048	2447
90	1060	2436
91	1072	2425
92	1083	2411
93	1095	2400
94	1106	2386
95	1117	2374
96	1129	2363
97	1143	2356
98	1150	2336
99	1163	2327
100	1175	2316
101	1186	2303
102	1197	2291
103	1210	2281
104	1222	2270
105	1234	2258
106	1246	2248
107	1259	2239
108	1271	2228
109	1282	2215
110	1293	2202
111	1304	2190
112	1316	2178
113	1327	2165
114	1338	2153
115	1350	2142
116	1362	2131
117	1373	2118
118	1385	2107
119	1397	2096
120	1409	2085
121	1422	2075
122	1434	2064
123	1445	2052
124	1456	2039
125	1468	2027
126	1480	2016
127	1491	2004
128	1503	1993
129	1515	1981
130	1527	1970
131	1539	1959
132	1551	1947
133	1562	1935
134	1574	1924
135	1585	1912
136	1596	1899
137	1607	1887
138	1619	1875
139	1632	1865
140	1644	1854
141	1656	1843
142	1668	1831
143	1680	1820
144	1690	1807
145	1703	1796
146	1714	1784
147	1725	1771
148	1735	1758
149	1748	1748
150	1760	1737
151	1773	1726
152	1784	1714
153	1796	1703
154	1808	1691
155	1821	1681
156	1833	1670
157	1846	1659
158	1858	1647
159	1869	1635
160	1879	1622
161	1889	1609
162	1900	1597
163	1912	1585
164	1922	1573
165	1934	1561
166	1947	1551
167	1958	1538
168	1971	1527
169	1982	1516
170	1994	1504
171	2006	1492
172	2016	1480
173	2028	1468
174	2039	1456
175	2052	1446
176	2064	1434
177	2075	1422
178	2086	1410
179	2097	1398
180	2108	1386
181	2119	1374
182	2131	1362
183	2142	1350
184	2154	1339
185	2168	1328
186	2179	1317
187	2190	1304
188	2201	1292
189	2213	1281
190	2225	1269
191	2236	1258
192	2248	1246
193	2260	1234
194	2271	1223
195	2283	1211
196	2294	1199
197	2304	1187
198	2315	1175
199	2325	1162
200	2336	1150
201	2348	1139
202	2363	1129
203	2374	1117
204	2385	1105
205	2396	1093
206	2407	1081
207	2417	1069
208	2427	1056
209	2439	1045
210	2451	1033
211	2461	1021
212	2471	1009
213	2482	997
214	2493	985
215	2505	974
216	2516	962
217	2527	950
218	2538	938
219	2550	927
220	2561	915
221	2573	904
222	2586	893
223	2598	881
224	2610	870
225	2621	858
226	2632	846
227	2646	835
228	2657	824
229	2669	812
230	2681	800
231	2691	788
232	2705	777
233	2717	766
234	2729	754
235	2741	743
236	2754	732
237	2766	720
238	2777	708
239	2787	696
240	2797	684
241	2808	673
242	2820	661
243	2832	650
244	2845	638
245	2857	627
246	2868	615
247	2879	603
248	2890	591
249	2900	580
250	2911	568
251	2921	556
252	2931	544
253	2943	533
254	2955	521
255	2966	509
256	2979	498
257	2991	486
258	3002	475
259	3012	463
260	3022	451
261	3034	440
262	3045	428
263	3057	416
264	3068	405
265	3080	393
266	3091	382
267	3103	370
268	3114	358
269	3126	347
270	3138	335
271	3149	324
272	3161	312
273	3173	301
274	3185	289
275	3196	277
276	3208	266
277	3219	254
278	3230	243
279	3242	231
280	3253	219
281	3263	208
282	3274	196
283	3285	185
284	3297	173
285	3308	161
286	3319	150
287	3330	138
288	3342	127
289	3353	115
290	3365	104
291	3375	92
292	3387	80
293	3397	69
294	3408	57
295	3419	46
296	3430	34
297	3443	23
298	3455	11
299	3466	0
